atom,channel,delta_Ha,osc,is_core,source
Ca,rpa_001,0.117038285060,0.653204011629,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_002,0.117038285061,0.653204011661,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_003,0.117038285062,0.653204011657,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_010,0.203861160566,0.073380447169,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_011,0.203861160581,0.073380447134,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_012,0.203861160584,0.073380447133,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_026,0.467686127155,0.003230308029,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_027,0.467686127156,0.003230308029,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_028,0.467686127156,0.003230308029,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
Ca,rpa_043,1.205278095350,0.008961592930,true,"PySCF_PSP_{'Ca': [[2], 0.8, 0, [], 3, [0.66973721, 3, [[1.64501442, -0.59004546, 0.07221571], [-0.59004546, 1.52349082, -0.18646017], [0.07221571, -0.18646017, 0.29599634]]], [0.94647402, 2, [[0.58547893, -0.05338365], [-0.05338365, 0.12632878]]], [0.52654998, 1, [[-3.03232095]]]]}_TDDFT_LDA"
